review_id,product_id,rating_score,content,created_at
20217033,279157961,5.0,"Giấy in rõ nét, đẹp. Mực in không bị lem ra tay",1772643752
20218469,279185704,5.0,,1773139824
20187178,278788044,5.0,"Giao hàng nhanh, đóng gói cẩn thận.
Truyện đẹp, bọc Bookcare vừa in.",1762087178
20189490,278788044,5.0,,1762835891
20189492,278788044,5.0,,1762835902
20200462,278948895,3.0,Giao nhanh nhưng đóng gói không tốt làm sách bị móp méo ở góc,1766494249
20201008,278948895,5.0,"Sang xịn mịn, tiki giao hàng nhanh, chất lượng đóng gói đỉnh khỏi bàn, nội dung sách rất tuổi thơ, ""phải"" mua về đọc",1766692864
20219929,278948895,5.0,,1773660633
20216843,278948895,5.0,,1772595772
20216687,278948895,5.0,,1772538158
20213045,278948895,5.0,,1771079746
20199442,278948895,5.0,Sách quá hay,1766139288
20210600,278948895,5.0,,1770174087
20208366,278948895,5.0,Ok,1769314314
20203079,278948895,5.0,,1767447348
20202995,278948895,5.0,,1767428757
20200229,278948895,5.0,,1766415919
20199448,278948895,5.0,,1766140475
20198711,278948895,5.0,,1765911972
20198548,278948895,5.0,,1765869446
20179705,278967562,5.0,Truyện in đẹp tuyệt. Shop giao nhanh,1760114059
20199996,278967562,5.0,"Bị cấn ngay góc. Vì không có ý định mua bán lại nên lỗi này ko thành vấn đề, nhờ tiki lưu ý thêm nhé. Cảm ơn",1766372339
20183308,278967562,2.0,"Sách cong vẹo như ảnh, chất lượng sản phẩm ko ok",1760936516
20215183,278967562,5.0,"new seal, không defect. shipper tiki vận chuyển đúng giờ, nhiệt tình, chịu khó",1772086009
20180316,278967562,5.0,"Sách bọc cẩn thận, quà kẹp trong seal của nxb, bìa không xước xát gì. Giao hàng đúng hẹn.",1760185057
20184525,278967562,5.0,Giao hơi trễ nhưng giá rẻ hơn nhiều nhà bán khác. 5 sao :-)),1761284578
20182988,278967562,5.0,Không có ý kiến,1760856280
20224058,278967562,5.0,,1775311463
20223353,278967562,5.0,,1775044101
20219930,278967562,5.0,,1773660640
20219927,278967562,5.0,,1773660612
20219633,278967562,5.0,,1773559503
20217191,278967562,5.0,,1772699565
20216631,278967562,5.0,,1772524488
20216373,278967562,5.0,,1772439622
20213759,278967562,5.0,,1771613869
20206568,278967562,5.0,,1768668540
20201319,278967562,5.0,,1766762744
20199935,278967562,5.0,,1766336027
20195474,278967562,5.0,,1764861547
20194560,278967562,5.0,,1764561766
20194214,278967562,5.0,,1764405628
20191723,278967562,5.0,,1763482037
20189073,278967562,5.0,,1762726215
20186842,278967562,5.0,,1761981745
20186348,278967562,5.0,,1761831520
20185507,278967562,5.0,,1761569730
20184506,278967562,5.0,,1761283211
20183470,278967562,5.0,,1760989100
20181328,278967562,5.0,,1760411913
