author_name,total_books,total_sales,average_rating
Hồ Huy Sơn,7,472,1.342857142857143
Yasuhisa Hara,2,471,5.0
Masaaki Yatagai,5,466,0.9
Jeremy Kourdi,4,460,1.175
Megumi Morino,1,456,5.0
Giuliano Ferri,6,454,0.8333333333333334
Alicia Vu,2,453,2.5
Đạm Phương Nữ Sử,1,443,4.7
Keigo Shinzo,5,442,5.0
TS. Lê Hồng Nhật,7,441,0.6428571428571429
Tetsuya Chiba,3,435,5.0
Masaru Emoto,1,430,4.6
Kazuhiro Fujita,3,425,1.6666666666666667
Nguyễn Tài Chung,2,425,2.5
Chris Ferrie,6,414,4.6000000000000005
Kei Urana,3,413,5.0
"Larry Gonick, Arthuffman",1,410,4.8
Ngọc Linh,8,401,2.425
"Paul Krugman, Robin Wells",1,395,5.0
Hương Đỗ (Mẹ Ong Bông),7,393,1.2714285714285716
"Nguyễn Hào, Minh Tuấn",1,392,4.7
Hiroshi Rinno,2,391,4.75
Reiko Shimizu,3,389,3.3333333333333335
Motoki Monma,5,383,4.0
Blair Singer,8,382,1.875
Sasbadi,5,382,2.7
Barbara Constantine,1,380,4.6
Trần Hải Anh,3,379,4.833333333333333
John Warrillow,2,376,2.5
Phòng chế tác Ấu Phúc,3,375,3.3333333333333335
"Luc Foccroulle, Annick Masson",1,372,4.8
David Stabler,1,369,5.0
Lê Văn Năm,2,368,5.0
Trương Nguyện Thành,2,368,2.5
Watiek Ideo,9,367,4.966666666666667
Adachi Toka,3,363,5.0
Steve Jones,1,363,4.7
Robert T Kiyosaki,4,362,2.5
Foster Cline & Jim Fay,3,359,1.6666666666666667
Shichida,2,359,4.65
Tiến sĩ Thomas Gordon,1,354,4.8
"Kim Wonsik, ChungBe Studios",1,353,5.0
Trần Ngọc Minh Khuê,16,351,1.84375
Lư Tô Vỹ,3,345,3.3333333333333335
"Luis Prats, Zuzanna Celej",1,344,5.0
Kuroyanagi Tetsuko,1,342,5.0
"Paul Tiffany, Steven D.Peterson, Colin Barrow",1,342,5.0
Donald Trump,1,340,4.8
Kotteri,2,328,2.5
Phương Thúy,1,327,3.2
Naoki Ogi,3,326,0.0
Sally J.Rogers,1,324,5.0
Yên Bình,2,318,5.0
"Adam Kay, Henry Paker",1,316,5.0
Rumiko Takahashi,3,315,1.6666666666666667
Ôn Viễn,4,313,4.575
Kaho Nashiki,1,307,5.0
Om Books,5,306,3.96
TS. Sally Ward,2,306,2.4
Vũ Hữu Bình,2,304,2.3
Eileen Kennedy-Moore & Mark S.Lowenthal,1,302,0.0
Lý Lan,5,300,2.0
Hiroyuki Takei,1,298,5.0
Yamaguchi Tsubasa,1,297,5.0
Nodoka Shinomaru,3,295,5.0
Anthony E. Wolf,1,293,4.8
Gilles Diederichs,8,292,2.15
Will Rainey,1,291,5.0
One,6,289,4.166666666666667
Xie Qi Jun,1,283,4.8
Yang Li Rong,1,281,5.0
Nekomaki (ms-work),3,279,4.8999999999999995
Peter Hollins,3,279,3.233333333333333
Goscinny & Sempé,1,277,5.0
Donald J. Trump,2,276,1.9
Toon Tellegen,1,275,5.0
Alex Frith,2,273,5.0
Dorling Kindersley Limited,4,273,5.0
Anne - Claire Kleindienst,4,272,1.175
Daniel J. Siegel and Tina Payne Bryson,1,272,5.0
Erika Takeuchi,1,271,5.0
Sophie De Mullenheim,3,269,4.766666666666667
Xuân Quỳnh,3,269,1.6666666666666667
David Fontana,1,267,4.5
Trịnh Diên Tuệ,11,266,2.109090909090909
Shogakukan,1,263,4.8
Tiếu Giang Nam,1,263,4.7
Trần Hân,4,263,2.375
First News Tổng Hợp,9,260,2.1444444444444444
Kawabata Yasunari,1,260,5.0
Marie-Hélène Place - Ève Herrmann,1,260,4.8
Nguyễn Thị Thanh Bình,1,259,4.8
Đào Thiên An,2,258,4.9
Hà Linh Minh,6,254,0.8333333333333334
Akimi Yoshida,4,252,5.0
Đức Anh,3,248,4.8999999999999995
Đào Hải,2,247,2.35
Mặc Hương Đồng Khứu,3,245,5.0
AidaIro,3,243,3.3333333333333335
Lê Bảo Ngọc,1,243,5.0
Naoki Urasawa,1,243,5.0
Morita Kisetsu,1,242,5.0
Bill Bryson,1,241,4.8
Tezuka Osamu,4,240,4.875
Carol S.Dweck,1,237,4.8
"Abhijit V. Banerjee, Esther Duflo",1,236,5.0
Cát Xuyên Lưu,1,234,5.0
Olga Makhovskaya,1,233,5.0
Hà Minh,3,230,4.833333333333333
Naoshi Arakawa,1,227,4.7
Nekomaki,3,226,4.833333333333333
Elizabeth Verdick,2,224,4.75
