author_name,total_books,total_sales,average_rating
"
Christian Stang",1,0,0.0
   Nguyễn Đức Tấn,14,26,0.6785714285714286
"   Nguyễn Đức Tấn,  Tô Thị Yến ",2,8,2.5
  Hương Giang ,1,1,0.0
 André Gide,1,8,0.0
 Brian Tracy,3,1,0.0
" Brian Tracy, Ashlee Vance",1,0,0.0
" Camilo Cruz, David McRaney",1,0,0.0
 Chris Zook,1,34,0.0
" Chris Zook, Phan Văn Trường",1,4,0.0
 Clive Gifford,1,0,0.0
 DK,3,4,0.0
 Dan Ariely,1,1,0.0
" Dan Ariely, Thomas L. Friedman",1,0,0.0
 Daniel Goleman,1,1,0.0
 David Dorsey,1,0,0.0
 David J Lieberman,1,1,0.0
 Di Li,1,0,0.0
 Edward de Bono,1,2,0.0
 Frederic Laloux,2,0,0.0
 Hans Christian Andersen,2,0,0.0
 Hector Malot,2,56,2.5
 Hoàng Thái Dương,1,2,5.0
 Hồ Anh Thái,1,0,0.0
 Inamori Kazuo,3,4,0.0
" Jeremy Gutsche,  Kevin Kelly",1,0,0.0
 Joe Vitale,1,0,0.0
 John C. Maxwell,1,0,0.0
" John Rothchild, Peter Lynch,  Chris Zook",1,1,0.0
 Jules Verne ,2,9,2.5
 Keith Cameron Smith,3,0,0.0
 Larry Winget,1,0,0.0
 Lê Phương Liên,4,3,1.0
" Lê Phương Liên, Nguyễn Yến Oanh",1,104,5.0
 Lê Thị Nguyên,1,0,0.0
" Lê Văn Năm,  Nguyễn Quốc Khánh, Trịnh Văn Bằng",1,0,0.0
 Lý Thượng Long,2,0,0.0
 Mark Twain,1,9,5.0
" Minh Anh, Trang Anh",1,0,0.0
 Minh Trang,1,0,0.0
" Minh Trang, Trang Anh",1,0,0.0
 NGƯT Phạm Đình Thực,4,13,0.0
 Nam Cao,2,3,0.0
 Nathalie Choux,1,0,0.0
 Nguyên Hương,5,58,1.8
 Nguyên Hồng,2,0,0.0
 Nguyễn Công Hoan,1,0,0.0
 Nguyễn Hoàng Thanh Ly,3,51,1.6666666666666667
" Nguyễn Hoàng Thanh Ly,  Minh Luận",1,43,5.0
" Nguyễn Hoàng Thanh Ly,  Nguyễn Văn Hai",4,111,3.75
" Nguyễn Ngọc Hà, TS. Thái Thành Vinh, TS. Nguyễn Kim Sa, Tạ Đức Hiền, Phạm Ngọc Thắm",1,1,0.0
 Nguyễn Phúc An,2,6,0.0
" Nguyễn Quốc Khánh, Kiều Bắc, Nguyễn Thị Hoa",3,146,1.6666666666666667
 Nguyễn Văn Tiến,2,2,0.0
 Nguyễn Đức Tấn,1,17,5.0
 Nhiều tác giả,3,0,0.0
 Phạm Hổ,1,0,0.0
 Robbie Kellman Baxter,1,0,0.0
" Robert T. Kiyosaki, Chì",1,1,0.0
 Robin Sharma,1,6,5.0
 Rosie Nguyễn,1,0,0.0
" Sasaki Fumio,  Vãn Tình",1,49,5.0
" Steve Harvey, Rhee Dongwoo",1,0,0.0
 TS. NGuyễn Quang Trường (chủ biên),1,0,0.0
 ThS Quách Văn Long,1,1,5.0
 Thanh Hương,2,3,0.0
 Thomas Armstrong,2,0,0.0
" Ths Lê Thị Nguyên, Trần Đức Niềm",1,34,4.8
 Thích Nhất Hạnh,4,120,2.4
 Thụy Anh,1,0,0.0
" Tony Buzan, Dr Spencer Johnson",1,0,0.0
 Tony Ross,1,0,0.0
 Trần Thị Kim Cương,10,40,0.95
 Trần Văn Chánh,2,3,0.0
 Trần Đức Niềm,1,0,0.0
 Tsubota Satoru,1,4,0.0
 Vãn Tình,1,45,4.8
 Vũ Hữu Bình,1,12,0.0
 Vũ Thị Thanh Tâm,1,0,0.0
" William J. O’Neil, Jack. D. Schwager",1,0,0.0
 Đào Thị Hoàng Ly,1,1,0.0
.,227,4526,1.5308370044052864
0,1,14,0.0
1980Edu,2,78,5.0
A.A. Milne,1,0,0.0
A.A.Milne,3,0,0.0
"ADam Khoo, Richard Koch",1,1,0.0
Abel Chong,1,0,0.0
"Abhijit V. Banerjee, Esther Duflo",1,236,5.0
Abigail Baird,1,190,4.6
Acccototo,1,2477,5.0
"Adam Kay, Henry Paker",1,316,5.0
Adrian Tchaikovsky,1,67,5.0
Akio Morisawa,1,1,0.0
Alan C. Fox,1,0,0.0
Albert Einstein,1,27,4.8
Alex Frith,1,87,5.0
"Alex Frith, Alice James, Jerome Martin, Federico Mariani, Shaw Nielsen",1,91,5.0
"Alex Frith, Shaw Nielsen, Jerome Martin , Alice James, Federico Mariani",1,94,4.8
Alex Genadinik,2,63,2.5
"Alex Osterwalder, Yves Pigneur,  Alan Smith, Fred Etiemble, Greg Bernarda, Tim Clark, Yves P",1,0,0.0
Alex Woolf,1,8,0.0
Alexander Dumas,1,1,0.0
Alexander Osterwalder - Yves P,1,18,0.0
"Alexander Osterwalder,  Tim Clark,  Bruce Hazen,  Yves Pigneur,  Fred Etiemble,  Alan Smith",1,1,0.0
"Alexander Osterwalder, Dr. Rusly Abdullah PHD",1,0,0.0
"Alexander Osterwalder, Yves P",2,56,2.5
"Alexander Osterwalder, Yves Pigneur",2,107,2.5
"Alexander Osterwalder, `",1,1,0.0
Alexandre Dumas,2,8,2.5
Algernon Blackwood,1,0,0.0
Alice Muir,5,7,0.0
"Alice Pantermuller, Daniela Kohl",4,24,1.25
"Alida Massari, Mairi Mackinnon",1,68,5.0
Alison Kelly,1,0,0.0
Amanda McLaughlin,2,6,2.5
Amir Hagazi,5,131,0.86
"Amit Offir,  Eyal Nir",1,12,5.0
An Băng,1,4,0.0
"An Băng, Nonchan",1,7,5.0
Anastasiya Galkina,1,0,0.0
"Andrea Hirata, Anthony Robbins",1,6,0.0
"Andrew Cave, John O’Brien",4,0,0.0
